study_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJEB5348	ERR458493	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1093957	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-1	59532325	2b8c708cce1fd88e7ddecd51e5ae2154	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458493/ERR458493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458493/120903_0219_D0PT7ACXX_1_SA-PE-039.sanfastq.gz	wt_sample1	great RNA experiment data
PRJEB5348	ERR458494	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1078049	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-2	58566854	36072a519edad4fdc0aeaa67e9afc73b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458494/ERR458494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458494/120903_0219_D0PT7ACXX_2_SA-PE-039.sanfastq.gz	wt_sample2	great RNA experiment data
PRJEB5348	ERR458495	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1066501	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-3	58114810	7a06e938a99d527f95bafee77c498549	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458495/ERR458495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458495/120903_0219_D0PT7ACXX_3_SA-PE-039.sanfastq.gz	wt_sample3	great RNA experiment data
PRJEB5348	ERR458496	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	985619	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-4	53510113	fa059eab6996118828878c30bd9a2b9d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458496/ERR458496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458496/120903_0219_D0PT7ACXX_4_SA-PE-039.sanfastq.gz	wt_sample3	great RNA experiment data
PRJEB5348	ERR458497	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	846040	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-5	46181127	f412265d27c99c555b3512a16f4e5294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458497/ERR458497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458497/120903_0219_D0PT7ACXX_5_SA-PE-039.sanfastq.gz	wt_sample5	great RNA experiment data
PRJEB5348	ERR458498	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	851243	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-6	46544739	0390f11531b236d5c69283582ce46930	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458498/ERR458498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458498/120903_0219_D0PT7ACXX_6_SA-PE-039.sanfastq.gz	wt_sample6	great RNA experiment data
PRJEB5348	ERR458499	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1093200	ena-EXPERIMENT-DUNDEE-14-03-2014-09:53:55:631-7	59359255	8bdf95631fc5727ca802a0cda9cef06b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458499/ERR458499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458499/120903_0219_D0PT7ACXX_7_SA-PE-039.sanfastq.gz	wt_sample7	great RNA experiment data
PRJEB5348	ERR458500	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1885330	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:241-1	102201086	107aad97e33ef1370cb03e2b4bab9a52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458500/ERR458500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458500/120903_0219_D0PT7ACXX_1_SA-PE-096.sanfastq.gz	mu_sample1	great RNA experiment data
PRJEB5348	ERR458501	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1870525	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:241-2	101222099	fe39ff194822b023c488884dbf99a236	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458501/ERR458501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458501/120903_0219_D0PT7ACXX_2_SA-PE-096.sanfastq.gz	mu_sample2	great RNA experiment data
PRJEB5348	ERR458502	4932	Saccharomyces cerevisiae	Illumina HiSeq 2000	SINGLE	1853031	ena-EXPERIMENT-DUNDEE-14-03-2014-10:23:24:241-3	100585843	db614de9ed03a035d3d82e5fe2c9c5dc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458502/ERR458502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR458/ERR458502/120903_0219_D0PT7ACXX_3_SA-PE-096.sanfastq.gz	mu_sample3	great RNA experiment data
