tracking_id,Hyb_vg_0,Hyb_vg_1,Hyb_wt_0,Hyb_wt_1,ORE_vg_0,ORE_vg_1,ORE_wt_0,ORE_wt_1,SAM_vg_0,SAM_vg_1,SAM_wt_0,SAM_wt_1
XLOC_000001,0.126709,0.175116,0.222461,0,0.039563,0,0.050777,0.0589777,0.319338,0.362257,0.195367,0.17677
XLOC_000002,0,0.0541999,0.0166374,0.0197713,0.0927714,0,0.0558322,0.0485081,0,0,0.0196508,0.0181717
XLOC_000003,56.9878,53.75,54.6292,45.6349,62.8892,48.6132,61.4729,54.7069,59.0692,57.664,64.4217,60.2752
XLOC_000004,51.0177,52.8086,52.1568,47.4396,51.0697,49.0659,50.6228,53.6265,54.5875,50.9693,56.2759,61.7315
XLOC_000005,193.046,184.204,202.681,198.14,216.046,182.683,227.723,196.436,187.36,214.705,222.63,207.159
XLOC_000006,487.772,404.023,454.945,388.749,612.214,315.736,376.216,299.844,260.324,384.48,463.052,322.135
XLOC_000007,8.13414,11.4042,5.70415,5.90437,16.0813,17.4853,9.74828,6.30591,4.31228,12.1307,5.58424,4.36871
XLOC_000008,58.7088,52.8168,57.2197,54.418,60.3561,49.7197,55.3016,53.9032,33.93,49.8062,59.6356,47.3393
XLOC_000009,56.2783,56.8737,56.1269,51.9576,64.1706,45.2482,52.0217,48.7529,47.8179,47.6838,56.9995,44.7951
XLOC_000010,15.523,15.1673,15.0935,15.484,15.9318,14.8711,15.236,13.6871,13.3706,16.3191,14.914,14.6759
XLOC_000011,0.0573205,0.137107,0.0940148,0.222456,0.130867,0.505421,0.195504,0.18196,0.384933,0.2694,0.386743,0.15349
XLOC_000012,0.130421,0.108942,0.0607904,0.0541786,0.0564584,0.0816267,0.0765765,0.0590745,0.156789,0,0.0538549,0.0332037
XLOC_000013,76.7861,62.0524,77.7119,80.4412,88.5574,55.5109,81.0228,65.5812,47.6901,70.7389,82.4537,56.8461
XLOC_000014,30.9262,33.065,32.9991,25.2077,34.7786,27.6418,34.0788,29.7292,35.0114,31.8144,32.7995,35.727
XLOC_000015,31.1522,25.2295,32.3798,28.7836,33.704,27.6833,27.4172,23.7,19.7724,25.0664,31.4557,26.4561
XLOC_000016,211.124,199.125,196.11,185.211,206.45,165.446,197.593,180.832,162.141,191.391,193.931,162.338
XLOC_000017,8.50018,9.74907,9.06853,9.76369,8.39284,11.219,9.31587,10.3714,11.1656,9.38798,8.113,9.4347
XLOC_000018,0,0,0,0,0,0.0612296,0.0368514,0.0435166,0,0,0,0
XLOC_000019,14.729,15.6041,38.5092,41.4194,10.0523,17.6951,37.887,49.9869,13.2239,13.5944,28.0898,38.4806
XLOC_000020,0.344168,0.518328,0.538407,0.361749,0.305576,0.474129,0.449654,0.523507,0.361067,0.539184,0.967355,0.921064
XLOC_000021,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000022,11.0731,13.002,15.2621,15.7347,12.1581,15.3157,15.9762,15.9418,14.1365,14.9092,13.5955,14.38
XLOC_000023,31.6309,35.4729,35.4723,36.7816,30.8992,37.8077,32.6716,41.7845,36.4517,37.2334,31.2214,42.2226
