tracking_id,gene_short_name,tss_id,locus
XLOC_000001,CG11023,TSS1,2L:7528-9484
XLOC_000002,CR43609,TSS2,2L:21822-25155
XLOC_000003,CG11374;dbr;galectin,TSS3;TSS4;TSS5;TSS6;TSS7;TSS8;TSS9,2L:66583-87387
XLOC_000004,CG11376;CG11377,TSS10;TSS11;TSS12,2L:94222-114441
XLOC_000005,Sam-S,TSS13;TSS14;TSS15;TSS16;TSS17,2L:94222-114441
XLOC_000006,CG11455;CG3436,TSS18;TSS19;TSS20;TSS21;TSS22,2L:114725-157666
XLOC_000007,Gs1,TSS23;TSS24,2L:114725-157666
XLOC_000008,CG11454,TSS25,2L:114725-157666
XLOC_000009,mRpL10;spen,TSS26;TSS27;TSS28;TSS29,2L:159029-250823
XLOC_000010,CG11490,TSS30;TSS31,2L:159029-250823
XLOC_000011,CG13693,TSS32,2L:159029-250823
XLOC_000012,CG3345,TSS33,2L:251162-277371
XLOC_000013,CG11555,TSS34,2L:251162-277371
XLOC_000014,smo,TSS35,2L:277586-283281
XLOC_000015,CG11562,TSS36,2L:292418-294681
XLOC_000016,Hop;Pi3K21B,TSS37;TSS38;TSS39,2L:295063-305308
XLOC_000017,Plc21C,TSS40;TSS41;TSS42;TSS43,2L:305901-352061
XLOC_000018,CG33127,TSS44,2L:305901-352061
XLOC_000019,al,TSS45,2L:378065-387555
XLOC_000020,-,TSS46,2L:389826-392423
XLOC_000021,CR43718,TSS47,2L:396119-396571
XLOC_000022,RpI135,TSS48,2L:404304-407969
XLOC_000023,ebi,TSS49,2L:415066-419652
XLOC_000024,RpLP1,TSS50,2L:419951-420864
XLOC_000025,BBS8;CG13692,TSS51;TSS52;TSS53,2L:421485-425386
XLOC_000026,CR43717;ex,TSS54;TSS55;TSS56,2L:431055-455358
XLOC_000027,CG4164;CR43080,TSS57;TSS58,2L:431055-455358
XLOC_000028,CG4133,TSS59,2L:455530-458745
XLOC_000029,MED15;ush,TSS60;TSS61;TSS62;TSS63;TSS64,2L:458875-544759
XLOC_000030,nAcRbeta-21C,TSS65,2L:545128-560523
XLOC_000031,CG2789,TSS66;TSS67,2L:545128-560523
XLOC_000032,CG2794,TSS68,2L:564162-568121
