TXNAME	GENEID
lcl|BK006935.2_mrna_1	YAL068C
lcl|BK006935.2_mrna_2	YAL067W-A
lcl|BK006935.2_mrna_3	YAL067C
lcl|BK006935.2_mrna_4	YAL065C
lcl|BK006935.2_mrna_5	YAL064W-B
lcl|BK006935.2_mrna_6	YAL064C-A
lcl|BK006935.2_mrna_7	YAL064W
lcl|BK006935.2_mrna_8	YAL063C-A
lcl|BK006935.2_mrna_9	YAL063C
lcl|BK006935.2_mrna_10	YAL062W
lcl|BK006935.2_mrna_11	YAL061W
lcl|BK006935.2_mrna_12	YAL060W
lcl|BK006935.2_mrna_13	YAL059W
lcl|BK006935.2_mrna_14	YAL058W
lcl|BK006935.2_mrna_15	YAL056W
lcl|BK006935.2_mrna_16	YAL055W
lcl|BK006935.2_mrna_17	YAL054C
lcl|BK006935.2_mrna_18	YAL053W
lcl|BK006935.2_mrna_19	YAL051W
lcl|BK006935.2_mrna_20	YAL049C
lcl|BK006935.2_mrna_21	YAL048C
lcl|BK006935.2_mrna_22	YAL047C
lcl|BK006935.2_mrna_23	YAL046C
lcl|BK006935.2_mrna_24	YAL044W-A
lcl|BK006935.2_mrna_25	YAL044C
lcl|BK006935.2_mrna_26	YAL043C
lcl|BK006935.2_mrna_27	YAL042W
lcl|BK006935.2_mrna_28	YAL041W
lcl|BK006935.2_mrna_29	YAL040C
lcl|BK006935.2_mrna_30	YAL039C
lcl|BK006935.2_mrna_31	YAL038W
lcl|BK006935.2_mrna_32	YAL037C-A
lcl|BK006935.2_mrna_33	YAL037W
lcl|BK006935.2_mrna_34	YAL036C
lcl|BK006935.2_mrna_35	YAL035W
lcl|BK006935.2_mrna_36	YAL034W-A
lcl|BK006935.2_mrna_37	YAL034C
lcl|BK006935.2_mrna_38	YAL033W
lcl|BK006935.2_mrna_39	YAL032C
lcl|BK006935.2_mrna_40	YAL031C
lcl|BK006935.2_mrna_41	YAL030W
lcl|BK006935.2_mrna_42	YAL029C
lcl|BK006935.2_mrna_43	YAL028W
lcl|BK006935.2_mrna_44	YAL027W
lcl|BK006935.2_mrna_45	YAL026C
lcl|BK006935.2_ncrna_46	HRA1
lcl|BK006935.2_mrna_47	YAL025C
lcl|BK006935.2_mrna_48	YAL024C
lcl|BK006935.2_mrna_49	YAL023C
lcl|BK006935.2_mrna_50	YAL022C
lcl|BK006935.2_mrna_51	YAL021C
lcl|BK006935.2_mrna_52	YAL020C
lcl|BK006935.2_mrna_53	YAL019W
lcl|BK006935.2_mrna_54	YAL018C
lcl|BK006935.2_mrna_55	YAL017W
lcl|BK006935.2_mrna_56	YAL016W
lcl|BK006935.2_mrna_57	YAL015C
lcl|BK006935.2_mrna_58	YAL014C
lcl|BK006935.2_mrna_59	YAL013W
lcl|BK006935.2_mrna_60	YAL012W
lcl|BK006935.2_mrna_61	YAL011W
lcl|BK006935.2_mrna_62	YAL010C
lcl|BK006935.2_mrna_63	YAL009W
lcl|BK006935.2_mrna_64	YAL008W
lcl|BK006935.2_mrna_65	YAL007C
lcl|BK006935.2_trna_66	tP(UGG)A
lcl|BK006935.2_mrna_67	YAL005C
lcl|BK006935.2_mrna_68	YAL003W
lcl|BK006935.2_ncrna_69	snR18
lcl|BK006935.2_mrna_70	YAL002W
lcl|BK006935.2_mrna_71	YAL001C
lcl|BK006935.2_mrna_72	YAR002W
lcl|BK006935.2_mrna_73	YAR002C-A
lcl|BK006935.2_mrna_74	YAR003W
lcl|BK006935.2_mrna_75	YAR007C
